Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Lipperswil;8564;5;Wäldi;TG;721463;275332
Lippoldswilen;8566;5;Kemmental;TG;725862;274582
Littenheid;9573;0;Sirnach;TG;718250;255399
Litzirüti;7058;0;Arosa;GR;772710;185657
Lobsigen;3268;0;Seedorf (BE);BE;588786;208597
Loc;3960;3;Randogne;VS;605735;126886
Locarno;6605;0;Locarno;TI;703828;115229
Locarno;6600;0;Locarno;TI;702471;115757
Locarno;6600;0;Locarno;TI;704611;113898
Loco;6661;0;Isorno;TI;695182;117525
Lodano;6678;2;Maggia;TI;695893;123686
Lodrino;6527;0;Lodrino;TI;718663;128976
Lohn GR;7433;3;Lohn (GR);GR;752292;168786
Lohn SH;8235;0;Lohn (SH);SH;692088;290192
Lohn-Ammannsegg;4573;0;Lohn-Ammannsegg;SO;606730;224704
Lohnstorf;3127;2;Lohnstorf;BE;605905;183962
Lommis;9506;0;Lommis;TG;717606;264069
Lommiswil;4514;0;Lommiswil;SO;601894;230167
Lonay;1027;0;Lonay;VD;529584;153210
Longirod;1261;35;Longirod;VD;509396;149958
Lopagno;6956;0;Capriasca;TI;719070;103139
Lopagno;6956;0;Capriasca;TI;719959;104477
Lopagno;6956;0;Capriasca;TI;720144;108636
Losone;6616;0;Losone;TI;701951;113855
Lossy;1782;3;La Sonnaz;FR;575014;186935
Lostallo;6558;0;Lostallo;GR;734942;130665
Lostorf;4654;0;Lostorf;SO;638743;248152
Lottigna;6716;3;Acquarossa;TI;715559;147590
Lotzwil;4932;0;Lotzwil;BE;627119;227121
Lourtier;1948;0;Bagnes;VS;586774;99784.6
Lovatens;1682;2;Lovatens;VD;556130;171510
Lovens;1756;2;La Brillaz;FR;568032;180274
Loveresse;2732;4;Loveresse;BE;584872;232570
Luc (Ayent);1966;3;Ayent;VS;598536;125648
Lucelle;2807;1;Pleigne;JU;585187;251898
Lucens;1522;0;Lucens;VD;554070;173411
Luchsingen;8775;1;Glarus Süd;GL;721536;202971
Ludiano;6721;0;Serravalle;TI;717668;142108
Lufingen;8426;0;Lufingen;ZH;687041;260600
Lugaggia;6953;0;Capriasca;TI;718452;102091
Lugaggia;6953;0;Capriasca;TI;721661;107539
Lugano;6900;0;Lugano;TI;717259;96204.3
Lugnez;2933;3;Lugnez;JU;574295;259225
Lugnorre;1789;0;Haut-Vully;FR;571953;199981
Luins;1184;0;Luins;VD;510414;144565
Lully FR;1470;2;Lully (FR);FR;554945;187263
Lully VD;1132;0;Lully (VD);VD;525288;150973
Lumbrein;7148;0;Lumnezia;GR;729964;171828
Lumino;6533;0;Lumino;TI;725547;121174
Lungern;6078;0;Lungern;OW;655563;181669
Lupfig;5242;2;Lupfig;AG;657595;255006
Lupsingen;4419;0;Lupsingen;BL;619392;254868
Lurtigen;3215;3;Lurtigen;FR;579672;197576
Lussery-Villars;1307;0;Lussery-Villars;VD;530114;165035
Lussy FR;1690;2;La Folliaz;FR;562191;173878
Lussy-sur-Morges;1167;0;Lussy-sur-Morges;VD;524162;150741
Lustdorf;8512;2;Thundorf;TG;716782;267862
Lustmühle;9062;0;Teufen (AR);AR;744844;251606
Luterbach;4542;0;Luterbach;SO;611533;229235
Luthern;6156;0;Luthern;LU;636408;212184
Luthern Bad;6156;2;Luthern;LU;637134;208682
Lutry;1095;0;Lutry;VD;542257;150429
Lutzenberg;9426;0;Lutzenberg;AR;761226;258626
Luven;7141;0;Ilanz/Glion;GR;734263;180350
Luzein;7242;0;Luzein;GR;777008;199167
Luzern;6004;0;Luzern;LU;665286;212502
Luzern;6015;0;Luzern;LU;663688;212884
Luzern;6003;0;Luzern;LU;665222;211360
Luzern;6014;0;Luzern;LU;666142;211864
Luzern;6006;0;Luzern;LU;668000;211638
Luzern;6005;0;Luzern;LU;666619;210188
Lyss;3250;0;Lyss;BE;590520;214135
Lyssach;3421;0;Lyssach;BE;610450;212706
Lyssach;3421;0;Oberburg;BE;611752;210857
Längenbühl;3636;0;Forst-Längenbühl;BE;607606;178426
Lätti;3053;5;Rapperswil (BE);BE;599510;209641
Läufelfingen;4448;0;Läufelfingen;BL;631046;249537
Léchelles;1773;0;Léchelles;FR;567751;186518
Löhningen;8224;0;Löhningen;SH;683228;283787
Lömmenschwil;9308;0;Häggenschwil;SG;744611;262586
Lü;7534;0;Val Müstair;GR;824401;167657
Lüchingen;9450;2;Altstätten;SG;759557;250663
Lüen;7027;1;Arosa;GR;765957;189189
Lüscherz;2576;0;Lüscherz;BE;578184;210664
Lüsslingen;4574;1;Lüsslingen-Nennigkofen;SO;605205;226511
Lüterkofen;4571;1;Lüterkofen-Ichertswil;SO;605381;223816
Lüterswil;4584;2;Lüterswil-Gächliwil;SO;599853;218743
Lütisburg;9604;0;Lütisburg;SG;724335;250747
Lütisburg Station;9601;0;Lütisburg;SG;723099;249507
Lütschental;3816;0;Lütschental;BE;639027;165525
Lützelflüh-Goldbach;3432;0;Lützelflüh;BE;618693;205625
Macolin;2532;0;Evilard;BE;583165;221254
Madetswil;8322;0;Russikon;ZH;702458;251919
Madiswil;4934;0;Madiswil;BE;626905;223673
Madonna del Piano;6995;2;Croglio;TI;708057;94034.7
Madrano;6780;2;Airolo;TI;691374;153565
Madulain;7523;0;Madulain;GR;791361;162629
Madulain;7523;0;Madulain;GR;796467;152753
Magadino;6573;0;Gambarogno;TI;709610;111674
Magden;4312;0;Magden;AG;628831;263965
Maggia;6673;0;Maggia;TI;697917;122496
Magliaso;6983;0;Magliaso;TI;712178;93336.7
Maglio di Colla;6959;0;Lugano;TI;724529;105402
Magnedens;1727;2;Corpataux-Magnedens;FR;572689;176827
Maienfeld;7304;0;Maienfeld;GR;759131;208448
Mairengo;6763;1;Faido;TI;703585;149365
Maisprach;4464;0;Maisprach;BL;631097;263824
Maladers;7026;0;Maladers;GR;761862;189581
Malans GR;7208;0;Malans;GR;762468;205628
Malans SG;9479;1;Wartau;SG;754647;217503
Malix;7074;0;Churwalden;GR;759671;186872
Malleray;2735;4;Valbirse;BE;586776;231792
Maloja;7516;0;Bregaglia;GR;773641;141704
Malters;6102;0;Malters;LU;657025;209875
Malvaglia;6713;0;Serravalle;TI;718837;141439
Mamishaus;3152;0;Schwarzenburg;BE;595176;184249
Mammern;8265;0;Mammern;TG;711074;278287
Mandach;5318;0;Mandach;AG;656273;266498
Mannenbach-Salenstein;8268;0;Salenstein;TG;721219;281582
Mannens;1775;2;Montagny (FR);FR;564230;182485
Manno;6928;0;Manno;TI;714561;99210.2
Maracon;1613;0;Maracon;VD;556466;155533
Marbach LU;6196;0;Escholzmatt-Marbach;LU;635241;189189
Marbach SG;9437;0;Marbach (SG);SG;760714;251169
Marchissy;1261;32;Marchissy;VD;508529;149129
Mariastein;4115;0;Metzerlen-Mariastein;SO;604014;258393
Marin-Epagnier;2074;0;La Tène;NE;566734;206561
Marly;1723;0;Marly;FR;578636;180453
Marmorera;7456;2;Marmorera;GR;769384;151956
Marnand;1524;0;Valbroye;VD;558933;178466
Maroggia;6817;0;Maroggia;TI;718957;88457.7
Marolta;6723;3;Acquarossa;TI;713818;148588
Marolta;6723;3;Acquarossa;TI;710589;148793
Marolta;6723;3;Acquarossa;TI;713518;149518
Marsens;1633;0;Marsens;FR;571385;167220
Marthalen;8460;0;Marthalen;ZH;690797;276045
Martherenges;1063;2;Montanaire;VD;547541;167991
Martigny;1920;0;Martigny;VS;571783;105522
Martigny-Croix;1921;0;Martigny-Combe;VS;570244;103967
Martina;7560;0;Valsot;GR;830305;197020
Martisberg;3994;2;Bettmeralp;VS;650762;137511
Maschwanden;8933;0;Maschwanden;ZH;674926;231696
Mase;1968;0;Mont-Noble;VS;599835;115973
Masein;7425;0;Masein;GR;752034;174119
Maseltrangen;8723;2;Schänis;SG;722070;228018
Massagno;6900;5;Massagno;TI;716528;96802.6
Massongex;1869;0;Massongex;VS;565364;121343
Massonnens;1692;0;Massonnens;FR;564419;172264
Mastrils;7303;0;Landquart;GR;760200;204024
Mathod;1438;0;Mathod;VD;533442;179881
Mathon;7433;4;Mathon;GR;751076;166900
Matran;1753;0;Matran;FR;573859;181754
Matt;8766;0;Glarus Süd;GL;731632;202452
Matten (St. Stephan);3773;0;St. Stephan;BE;598690;149159
Matten b. Interlaken;3800;3;Matten bei Interlaken;BE;633254;169887
Mattstetten;3322;1;Mattstetten;BE;605710;208768
Mattwil;8585;1;Birwinken;TG;733261;271402
Matzendorf;4713;0;Matzendorf;SO;614152;239362
Matzingen;9548;0;Matzingen;TG;712171;264440
Mauborget;1453;2;Mauborget;VD;537328;189732
Mauensee;6216;0;Mauensee;LU;647643;224276
Maules;1625;2;Sâles;FR;565748;165367
Maur;8124;0;Maur;ZH;693134;243507
Mauraz;1148;2;Mauraz;VD;522151;162058
Mauren FL;9493;0;;LI;759540;231914
Mauren TG;8576;0;Berg (TG);TG;728909;269832
Mayens-de-Chamoson;1911;2;Chamoson;VS;580159;117193
Mayens-de-la-Zour (Savièse);1965;6;Savièse;VS;593698;124272
Medeglia;6809;0;;TI;725167;111202
Medeglia;6809;0;Monteceneri;TI;718334;108266
Medels im Rheinwald;7436;0;Splügen;GR;742175;156810
Meggen;6045;0;Meggen;LU;670929;211027
Mehlsecken;6260;4;Reiden;LU;639263;232747
Meien;6485;0;Wassen;UR;684910;175546
Meienberg;5643;3;Sins;AG;671046;227854
Meienried;3294;2;Meienried;BE;592621;220859
Meierskappel;6344;0;Meierskappel;LU;676183;219853
Meikirch;3045;0;Meikirch;BE;594496;206268
Meilen;8706;0;Meilen;ZH;691414;236708
Meinier;1252;0;Meinier;GE;507113;122394
Meinisberg;2554;0;Meinisberg;BE;593203;223422
Meiringen;3860;0;Meiringen;BE;656344;175345
Meisterschwanden;5616;0;Meisterschwanden;AG;660192;238554
Melano;6818;0;Melano;TI;720174;86877.5
Melchnau;4917;0;Melchnau;BE;631702;225894
Melchsee-Frutt;6068;0;Kerns;OW;663060;180671
Melchtal;6067;0;Kerns;OW;665161;187325
Melide;6815;0;Melide;TI;716678;90188.9
Mellikon;5465;0;Mellikon;AG;668400;268882
Mellingen;5507;0;Mellingen;AG;663596;252273
Mels;8887;0;Mels;SG;750263;212701
Meltingen;4233;0;Meltingen;SO;611242;248060
Mendrisio;6850;0;Mendrisio;TI;719989;80994.5
Menzberg;6125;0;Menznau;LU;642532;210168
Menzengrüt;8546;3;Wiesendangen;ZH;703960;267567
Menziken;5737;0;Menziken;AG;657119;232353
Menzingen;6313;0;Menzingen;ZG;687794;226008
Menznau;6122;0;Menznau;LU;645614;214954
Menzonio;6692;0;Lavizzara;TI;692527;135133
Merenschwand;5634;0;Merenschwand;AG;671297;234476
Mergoscia;6647;0;Mergoscia;TI;708779;118667
Meride;6866;0;Mendrisio;TI;717523;83216
Merishausen;8232;0;Merishausen;SH;687604;290599
Merligen;3658;0;Sigriswil;BE;623253;171948
Merlischachen;6402;0;Küssnacht (SZ);SZ;673636;213272
Mervelier;2827;0;Mervelier;JU;604919;243712
Merzligen;3274;3;Merzligen;BE;586006;215197
Mesocco;6563;0;Mesocco;GR;738359;139229
Messen;3254;0;Messen;SO;600949;215706
Mettau;5274;0;Mettauertal;AG;651743;268404
Mettembert;2806;0;Mettembert;JU;591079;249546
Mettendorf TG;8553;3;Hüttlingen;TG;714804;270866
Mettlen;9517;0;Bussnang;TG;726528;265917
Mettmenstetten;8932;0;Mettmenstetten;ZH;677976;233033
Metzerlen;4116;0;Metzerlen-Mariastein;SO;602058;257213
Mex VD;1031;0;Mex (VD);VD;532057;158853
Mex VS;1890;1;Saint-Maurice;VS;566098;114930
Meyriez;3280;2;Meyriez;FR;574901;197149
Meyrin;1217;0;Meyrin;GE;494465;120568
Mezzovico;6805;0;Mezzovico-Vira;TI;714182;105325
Mezzovico;6805;0;Monteceneri;TI;710961;104881
Middes;1749;0;Torny;FR;562626;179771
Mies;1295;1;Mies;VD;502338;129011
Miex;1896;2;Vouvry;VS;555730;132058
Miglieglia;6986;2;Miglieglia;TI;709851;98089.7
Milken;3157;0;Schwarzenburg;BE;594132;182455
Minusio;6648;0;Minusio;TI;706536;115049
Miralago;7743;2;Poschiavo;GR;805170;128109
Mirchel;3532;2;Mirchel;BE;615895;193854
Misery;1721;1;Misery-Courtion;FR;571822;188979
Mission;3961;27;Anniviers;VS;612045;115688
Missy;1565;0;Missy;VD;564308;192246
Misériez (Salins);1991;5;Sion;VS;592793;117338
Mitlödi;8756;0;Glarus Süd;GL;724560;208126
Mittelhäusern;3147;0;Köniz;BE;594337;191653
Mittellunden;7222;0;Schiers;GR;773102;202397
Miège;3972;0;Miège;VS;608364;128975
Miécourt;2946;0;La Baroche;JU;580216;252840
Mogelsberg;9122;0;Neckertal;SG;728391;247021
Moghegno;6677;2;Maggia;TI;697712;121748
Moiry VD;1148;8;Moiry;VD;524596;166840
Molare;6760;1;Faido;TI;706856;149261
Moleno;6524;0;Moleno;TI;719858;125318
Molinazzo di Monteggio;6995;0;Monteggio;TI;707043;94260.9
Molinis;7056;0;Arosa;GR;769276;188503
Mollens VD;1146;0;Mollens (VD);VD;517562;159080
Mollens VS;3974;0;Mollens (VS);VS;606329;129449
Mollie-Margot;1073;2;Savigny;VD;547222;156401
Mollis;8753;0;Glarus Nord;GL;724814;217295
Molondin;1415;0;Molondin;VD;547280;178960
Mols;8885;0;Quarten;SG;739929;219539
Moléson-sur-Gruyères;1663;4;Gruyères;FR;569229;156824
Mon;7458;0;Albula/Alvra;GR;762513;168780
Moneto;6659;9;Centovalli;TI;691329;111689
Monible;2715;2;Petit-Val;BE;581963;236186
Monnaz;1125;0;Echichens;VD;526370;153472
Mont-Crosin;2610;4;Cormoret;BE;569352;225921
Mont-Soleil;2610;2;Saint-Imier;BE;565735;223290
Mont-Tramelan;2723;0;Mont-Tramelan;BE;570980;228588
Mont-de-Buttes;2116;0;Val-de-Travers;NE;529516;192560
Mont-la-Ville;1148;5;Mont-la-Ville;VD;521166;166591
Mont-sur-Rolle;1185;0;Mont-sur-Rolle;VD;515386;147218
Montagne-de-Courtelary;2608;2;Cortébert;BE;575511;224433
Montagne-de-Sonvilier;2615;2;Sonvilier;BE;562680;218999
Montagnola;6926;0;Collina d'Oro;TI;714637;93428
Montagnon (Leytron);1912;3;Leytron;VS;581028;115459
Montagny-la-Ville;1776;0;Montagny (FR);FR;566177;185245
Montagny-les-Monts;1774;2;Montagny (FR);FR;565910;184467
Montagny-près-Yverdon;1442;0;Montagny-près-Yverdon;VD;536909;182759
Montalchez;2027;2;Montalchez;NE;547157;194271
Montana;3963;3;Montana;VS;604000;127191
Montaubion-Chardonney;1041;22;Jorat-Menthue;VD;544550;166460
Montavon;2857;0;Boécourt;JU;584503;246893
Montbovon;1669;5;Haut-Intyamon;FR;569829;148400
Montbrelloz;1475;3;Vernay;FR;557840;189310
Montcherand;1354;0;Montcherand;VD;529069;176138
Monte;6875;0;Castel San Pietro;TI;723387;82359.5
Monte Carasso;6513;0;Monte Carasso;TI;720494;116495
Monteiller (Savièse);1965;9;Savièse;VS;593545;122847
Montenol;2884;0;Clos du Doubs;JU;578339;244707
Montet (Broye);1483;0;Les Montets;FR;556504;185143
Montet (Glâne);1674;2;Montet (Glâne);FR;552176;166117
Montezillon;2037;2;Rochefort;NE;554243;204127
Montfaucon;2362;0;Montfaucon;JU;570679;236934
Montfavergier;2362;2;Montfaucon;JU;573621;239914
Montherod;1174;0;Montherod;VD;517642;150282
Monthey;1870;0;Monthey;VS;562086;122481
Monthey;1870;0;Monthey;VS;551884;117479
Montignez;2924;0;Basse-Allaine;JU;571411;259654
Montlingen;9462;0;Oberriet (SG);SG;756403;242047
Montlingen;9462;0;Oberriet (SG);SG;762622;244897
Montmagny;1587;0;Vully-les-Lacs;VD;567308;197386
Montmelon;2883;0;Clos du Doubs;JU;580418;244701
Montmollin;2037;0;Val-de-Ruz;NE;554989;204836
Montpreveyres;1081;0;Montpreveyres;VD;547080;159452
Montreux;1820;0;Montreux;VD;559571;142280
Montricher;1147;0;Montricher;VD;518651;161650
Montsevelier;2828;0;Val Terbi;JU;605418;245366
Montévraz;1724;4;Le Mouret;FR;579915;175044
Moosleerau;5054;2;Moosleerau;AG;647025;235246
Moosseedorf;3302;0;Moosseedorf;BE;603002;207174
Morbio Inferiore;6834;0;Morbio Inferiore;TI;722775;78948.9
Morbio Superiore;6835;0;Breggia;TI;722966;80214.5
Morcles;1892;2;Lavey-Morcles;VD;568967;117584
Morcote;6922;0;Morcote;TI;714469;86839.7
Morens FR;1541;2;Morens (FR);FR;559487;188283
Morgarten;6315;3;Oberägeri;ZG;690826;217342
Morges;1110;0;Morges;VD;527960;151478
Morgins;1875;0;Troistorrents;VS;555170;120809
Morissen;7143;0;Lumnezia;GR;732949;176941
Morlens;1674;3;Ursy;FR;553921;167044
Morlon;1638;0;Morlon;FR;573129;164135
Morrens VD;1054;0;Morrens (VD);VD;537772;160313
Morschach;6443;0;Morschach;SZ;689646;203890
Mosen;6295;0;Hitzkirch;LU;659746;232734
Mosnang;9607;0;Mosnang;SG;720908;246733
Mosogno;6611;13;Mosogno;TI;692661;117084
Mossel;1675;3;Ursy;FR;555029;162098
Motto (Blenio);6721;2;Acquarossa;TI;717801;143079
Moudon;1510;0;Moudon;VD;551060;168747
Moutier;2740;0;Moutier;BE;594844;236514
Movelier;2812;0;Movelier;JU;590999;251133
Mugena;6939;1;Alto Malcantone;TI;712318;100740
Muggio;6838;0;Breggia;TI;724506;84735.9
Muhen;5037;0;Muhen;AG;646309;242865
Mulegns;7455;0;Mulegns;GR;767259;154901
Mumpf;4322;0;Mumpf;AG;635747;266149
Mumpé Medel;7183;0;Disentis/Mustér;GR;707751;171640
Mund;3903;0;Naters;VS;638545;129562
Muntelier;3286;0;Muntelier;FR;576042;198307
Muolen;9313;0;Muolen;SG;741805;264954
Muotathal;6436;0;Muotathal;SZ;700530;203787
Mur (Vully) FR;1787;1;Haut-Vully;FR;571429;199341
Mur (Vully) VD;1787;2;Vully-les-Lacs;VD;571170;199389
Muralto;6600;2;Muralto;TI;705329;114589
Muraz (Collombey);1893;0;Collombey-Muraz;VS;560469;125549
Muraz (Sierre);3960;5;Sierre;VS;606949;127354
Murg;8877;0;Quarten;SG;734728;219302
Murgenthal;4853;0;Murgenthal;AG;629790;235020
Murgenthal;4853;0;Murgenthal;AG;629534;233436
Muri AG;5630;0;Muri (AG);AG;668105;236104
Muri b. Bern;3074;0;Muri bei Bern;BE;603796;197476
Muriaux;2338;2;Muriaux;JU;565149;232898
Murist;1489;0;Murist;FR;551797;182335
Murten;3280;0;Murten;FR;575665;197530
Murzelen;3034;0;Wohlen bei Bern;BE;590585;203258
Mutrux;1428;2;Mutrux;VD;545795;192689
Mutten;7431;1;Mutten;GR;757518;171842
Muttenz;4132;0;Muttenz;BL;616256;263383
Muzzano;6933;0;Muzzano;TI;714673;95187.1
Mädris-Vermol;8886;0;Mels;SG;748393;212837
Mägenwil;5506;0;Mägenwil;AG;660004;251294
Männedorf;8708;0;Männedorf;ZH;695243;234898
Märstetten;8560;0;Märstetten;TG;722170;272506
Märwil;9562;0;Affeltrangen;TG;722822;265686
Ménières;1533;0;Ménières;FR;557452;181593
Mézery-près-Donneloye;1407;3;Donneloye;VD;545655;177789
Mézières FR;1684;0;Mézières (FR);FR;560804;169895
Mézières VD;1083;0;Mézières (VD);VD;548856;160658
Môtier (Vully);1787;0;Haut-Vully;FR;572924;199769
Môtiers NE;2112;0;Val-de-Travers;NE;536992;195977
Möhlin;4313;0;Möhlin;AG;630463;267967
Mönchaltorf;8617;0;Mönchaltorf;ZH;696507;241047
Mönthal;5237;0;Mönthal;AG;652856;263154
Mörel;3983;0;Mörel-Filet;VS;646650;134236
Mörigen;2572;2;Mörigen;BE;582786;214837
Möriken AG;5103;2;Möriken-Wildegg;AG;656775;252012
Mörschwil;9402;0;Mörschwil;SG;749701;259383
Mötschwil;3324;2;Mötschwil;BE;609520;210891
Mühlau;5642;0;Mühlau;AG;671772;231619
Mühlebach (Goms);3995;3;Ernen;VS;655539;140005
Mühlebach (Goms);3995;3;Ernen;VS;661522;139833
Mühleberg;3203;0;Mühleberg;BE;586647;200590
Mühledorf BE;3116;2;Mühledorf (BE);BE;606966;186318
Mühledorf SO;4583;0;Buchegg;SO;603012;220325
Mühlehorn;8874;0;Glarus Nord;GL;731808;219651
Mühlethal;4812;0;Zofingen;AG;640800;239084
Mühlethurnen;3127;0;Mühlethurnen;BE;605562;185015
Mühlrüti;9613;0;Mosnang;SG;716574;247817
Mülchi;3317;1;Fraubrunnen;BE;602657;216754
Mülenen;3711;2;Aeschi bei Spiez;BE;619134;165375
Müllheim Dorf;8555;0;Müllheim;TG;717823;273457
Müllheim-Wigoltingen;8554;0;Wigoltingen;TG;718487;272226
Mülligen;5243;0;Mülligen;AG;660370;256415
Mümliswil;4717;0;Mümliswil-Ramiswil;SO;619383;243400
Münchenbuchsee;3053;0;Münchenbuchsee;BE;600561;207850
Münchenstein;4142;0;Münchenstein;BL;613779;262564
Münchenwiler;1797;0;Münchenwiler;BE;576209;195673
Münchringen;3303;2;Jegenstorf;BE;606349;210577
Münchwilen AG;4333;0;Münchwilen (AG);AG;639565;265132
Münchwilen TG;9542;0;Münchwilen (TG);TG;716987;259942
Münsingen;3110;0;Münsingen;BE;608899;191709
Münster VS;3985;0;Münster-Geschinen;VS;663550;149009
Münsterlingen;8596;1;Münsterlingen;TG;735005;277187
Müntschemier;3225;0;Müntschemier;BE;577565;205042
Mürren;3825;0;Lauterbrunnen;BE;634957;156687
Müselbach;9602;2;Kirchberg (SG);SG;721245;250257
Müstair;7537;0;Val Müstair;GR;830224;167796
Müswangen;6289;0;Hitzkirch;LU;664777;232271
Nassen;9123;0;Neckertal;SG;728450;248445
Nassenwil;8155;1;Niederhasli;ZH;677681;257839
Naters;3904;0;Naters;VS;641981;130739
Nax;1973;0;Mont-Noble;VS;599656;119763
Naz;1041;26;Montilliez;VD;543112;167716
Nebikon;6244;0;Nebikon;LU;641367;226946
Necker;9126;0;Oberhelfenschwil;SG;727681;245402
Neerach;8173;0;Neerach;ZH;677798;262467
Neftenbach;8413;0;Neftenbach;ZH;693121;264809
Neggio;6991;0;Neggio;TI;711640;93892.6
Neirivue;1669;4;Haut-Intyamon;FR;570795;152733
Nendeln;9485;0;;LI;759518;229631
Nennigkofen;4574;0;Lüsslingen-Nennigkofen;SO;603872;226241
Nenzlingen;4224;0;Nenzlingen;BL;608928;255185
Neschwil;8484;2;Weisslingen;ZH;702148;254060
Nesselnbach;5524;2;Niederwil (AG);AG;664710;249190
Nesslau;9650;0;Nesslau;SG;733516;231831
Netstal;8754;0;Glarus;GL;722466;213770
Neu St. Johann;9652;0;Nesslau;SG;732788;232841
Neuchâtel;2000;0;Neuchâtel;NE;561032;204681
Neudorf;6025;0;Beromünster;LU;658612;225408
Neuendorf;4623;0;Neuendorf;SO;627077;239023
Neuenegg;3176;0;Neuenegg;BE;588879;193943
Neuenhof;5432;0;Neuenhof;AG;666752;255367
Neuenkirch;6206;0;Neuenkirch;LU;658069;216832
Neuhaus SG;8732;0;Eschenbach (SG);SG;713909;233690
Neuhausen am Rheinfall;8212;0;Neuhausen am Rheinfall;SH;688513;281909
Neuheim;6345;0;Neuheim;ZG;686519;228515
Neukirch (Egnach);9315;0;Egnach;TG;745477;265835
Neukirch an der Thur;9217;0;Kradolf-Schönenberg;TG;730277;263780
Neunkirch;8213;0;Neunkirch;SH;679583;282755
Neuwilen;8566;0;Kemmental;TG;727348;275705
Neyruz FR;1740;0;Neyruz (FR);FR;571475;179703
Neyruz-sur-Moudon;1515;1;Montanaire;VD;550174;172053
Nidau;2560;0;Nidau;BE;584970;219357
Nidfurn;8772;0;Glarus Süd;GL;722678;205244
Niederbipp;4704;0;Niederbipp;BE;619917;235309
Niederbuchsiten;4626;0;Niederbuchsiten;SO;625243;238266
Niederbüren;9246;0;Niederbüren;SG;732890;258510
Niederdorf;4435;0;Niederdorf;BL;623469;251005
Niedergampel;3945;1;Gampel-Bratsch;VS;620954;129015
Niedergesteln;3942;2;Niedergesteln;VS;626398;128859
Niederglatt SG;9240;2;Oberuzwil;SG;730499;254677
Niederglatt ZH;8172;0;Niederglatt;ZH;679566;260731
Niedergösgen;5013;0;Niedergösgen;SO;641498;247542
Niederhasli;8155;0;Niederhasli;ZH;678691;258916
Niederhelfenschwil;9527;0;Niederhelfenschwil;SG;731485;260043
Niederhünigen;3504;0;Niederhünigen;BE;615240;192010
Niederlenz;5702;0;Niederlenz;AG;655233;250466
Niedermuhlern;3087;0;Niedermuhlern;BE;601830;189961
Niederneunforn;8525;0;Neunforn;TG;700736;272474
Niederrickenbach;6383;2;Wolfenschiessen;NW;676226;196911
Niederried b. Interlaken;3853;0;Niederried bei Interlaken;BE;637522;174063
Niederried b. Kallnach;3283;2;Kallnach;BE;585837;206626
Niederrohrdorf;5443;0;Niederrohrdorf;AG;664821;252911
Niederscherli;3145;0;Köniz;BE;596758;192812
Niederstetten;9249;1;Uzwil;SG;723902;257107
Niederstocken;3632;2;Stocken-Höfen;BE;610281;173269
Niederteufen;9052;0;Teufen (AR);AR;745287;250857
Niederurnen;8867;0;Glarus Nord;GL;720416;220750
Niederuzwil;9244;0;Uzwil;SG;728353;256814
Niederwald;3989;4;Niederwald;VS;657597;143038
Niederwangen b. Bern;3172;0;Köniz;BE;595368;196917
Niederweningen;8166;0;Niederweningen;ZH;670458;262088
Niederwil AG;5524;0;Niederwil (AG);AG;664196;247547
Niederwil SG;9203;0;Oberbüren;SG;732920;255773
Niederwil SO;4523;0;Riedholz;SO;609943;233169
Niederönz;3362;0;Niederönz;BE;618803;226106
Niederösch;3424;0;Niederösch;BE;613182;218392
Nierlet-les-Bois;1772;1;Ponthaux;FR;570914;185483
Niouc;3960;4;Anniviers;VS;608748;124393
Niva (Vallemaggia);6683;2;Campo (Vallemaggia);TI;684179;127222
Nivo;6746;2;Faido;TI;707874;143722
Nods;2518;0;Nods;BE;572803;217985
Noflen BE;3116;3;Noflen;BE;607989;183832
Nohl;8212;4;Laufen-Uhwiesen;ZH;687771;280480
Noiraigue;2103;0;Val-de-Travers;NE;545525;200801
Noréaz;1757;0;Noréaz;FR;568632;183590
Nottwil;6207;0;Nottwil;LU;652741;220609
Novaggio;6986;0;Novaggio;TI;710071;96457.2
Novalles;1431;2;Novalles;VD;535697;186708
Novazzano;6883;0;Novazzano;TI;720206;77834.1
Noville;1845;0;Noville;VD;558452;136759
Noës;3976;0;Sierre;VS;605233;125416
Nufenen;7437;0;Nufenen;GR;738582;155980
Nuglar;4412;0;Nuglar-St. Pantaleon;SO;619580;257633
Nunningen;4208;0;Nunningen;SO;613800;249002
Nussbaumen AG;5415;0;Obersiggenthal;AG;664663;260665
Nussbaumen TG;8537;0;Hüttwilen;TG;704124;276009
Nusshof;4453;0;Nusshof;BL;627288;260138
Nuvilly;1485;0;Nuvilly;FR;553572;181611
Nyon;1260;0;Nyon;VD;507633;137312
Näfels;8752;0;Glarus Nord;GL;722852;217946
Nänikon;8606;0;Uster;ZH;694670;247734
Némiaz (Chamoson);1955;3;Chamoson;VS;583397;117896
Nürensdorf;8309;0;Nürensdorf;ZH;691849;256112
Obbürgen;6363;0;Stansstad;NW;670923;204116
Oberaach;8587;0;Amriswil;TG;737731;269311
Oberarth;6414;0;Arth;SZ;683186;211912
Oberbalm;3096;0;Oberbalm;BE;597605;191202
Oberbalmberg;4524;3;Balm bei Günsberg;SO;607619;234836
Oberbipp;4538;0;Oberbipp;BE;616508;234376
Oberbuchsiten;4625;0;Oberbuchsiten;SO;625267;239989
Oberburg;3414;0;Oberburg;BE;613915;209500
Oberbussnang;9565;2;Bussnang;TG;724256;267580
