Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Arzo;6864;0;Mendrisio;TI;716669;81617.7
Ascharina;7245;0;St. Antönien;GR;780250;203448
Ascona;6612;0;Ascona;TI;702812;112456
Asp;5025;0;Densbüren;AG;646020;254853
Assens;1042;0;Assens;VD;537490;162692
Astano;6999;0;Astano;TI;706773;96740.6
Asuel;2954;0;La Baroche;JU;582683;250006
Athenaz (Avusy);1285;0;Avusy;GE;489425;112478
Attalens;1616;0;Attalens;FR;554762;151230
Attelwil;5056;0;Attelwil;AG;645869;234768
Attikon;8544;0;Wiesendangen;ZH;702233;265794
Attinghausen;6468;0;Attinghausen;UR;690376;191109
Attiswil;4536;0;Attiswil;BE;613438;233297
Au SG;9434;0;Au (SG);SG;765585;255940
Au TG;8376;2;Fischingen;TG;714172;250742
Au ZH;8804;0;Wädenswil;ZH;691434;233719
Aubonne;1170;0;Aubonne;VD;519663;150026
Auboranges;1673;3;Auboranges;FR;551487;159243
Auddes-sur-Riddes;1914;2;Riddes;VS;584783;111420
Auenstein;5105;0;Auenstein;AG;653314;252281
Augio;6547;0;Rossa;GR;729724;136318
Augst BL;4302;0;Augst;BL;621186;264675
Aumont;1484;0;Les Montets;FR;554959;183505
Auressio;6661;2;Isorno;TI;696160;117445
Aurigeno;6677;1;Maggia;TI;698281;120722
Auslikon;8331;0;Pfäffikon;ZH;703390;244751
Ausserberg;3938;0;Ausserberg;VS;631620;129287
Ausserbinn;3995;2;Ernen;VS;654698;137106
Ausserferrera;7444;0;Ferrera;GR;753580;158187
Auswil;4944;0;Auswil;BE;629893;220483
Autafond;1782;2;Autafond;FR;572466;184781
Autavaux;1475;0;Vernay;FR;557213;190605
Autigny;1742;0;Autigny;FR;568048;176229
Auvernier;2012;0;Milvignes;NE;557285;203121
Auw;5644;0;Auw;AG;670405;229413
Avegno;6670;0;Avegno Gordevio;TI;700892;118055
Aven;1976;1;Conthey;VS;586895;120564
Avenches;1580;0;Avenches;VD;569660;192202
Avry-devant-Pont;1644;0;Pont-en-Ogoz;FR;573054;170726
Avry-sur-Matran;1754;4;Avry;FR;571903;181919
Avully;1237;0;Avully;GE;488890;114131
Axalp;3855;1;Brienz (BE);BE;645844;174645
Ayer;3961;24;Anniviers;VS;612894;114321
Azmoos;9478;0;Wartau;SG;754900;216545
Aïre;1219;10;Vernier;GE;496546;117381
Baar;6340;0;Baar;ZG;681766;227840
Baar (Nendaz);1996;5;Nendaz;VS;591430;117107
Bachenbülach;8184;0;Bachenbülach;ZH;683011;261758
Bachs;8164;0;Bachs;ZH;675418;264368
Bad Ragaz;7310;0;Bad Ragaz;SG;757241;207751
Bad Ragaz;7310;0;Pfäfers;SG;755849;204686
Bad Zurzach;5330;0;Bad Zurzach;AG;664446;270505
Baden;5400;0;Baden;AG;664854;258734
Baden;5404;0;Baden;AG;663318;256307
Baldegg;6283;0;Hochdorf;LU;663788;225862
Baldingen;5333;0;Baldingen;AG;665984;267707
Balerna;6828;0;Balerna;TI;721716;78530.3
Balgach;9436;0;Balgach;SG;763593;252988
Ballaigues;1338;0;Ballaigues;VD;521736;175850
Ballens;1144;0;Ballens;VD;518364;156488
Ballmoos;3303;4;Jegenstorf;BE;602829;209939
Ballwil;6275;0;Ballwil;LU;666896;222744
Balm b. Günsberg;4525;0;Balm bei Günsberg;SO;608738;233624
Balm b. Messen;3254;2;Messen;SO;599694;216906
Balmberg;4524;2;Balm bei Günsberg;SO;608558;235460
Balsthal;4710;0;Balsthal;SO;619626;240149
Balterswil;8362;0;Bichelsee-Balterswil;TG;713210;257248
Baltschieder;3937;0;Baltschieder;VS;632409;128445
Baltschieder;3937;0;Baltschieder;VS;634046;136158
Balzers;9496;0;;LI;756904;214619
Banco;6981;16;Bedigliora;TI;708573;96411.7
Bangerten b. Dieterswil;3256;2;Bangerten;BE;600685;211744
Bannwil;4913;0;Bannwil;BE;622058;231872
Barbengo;6917;0;Lugano;TI;714341;90844.6
Barberêche;1783;4;Barberêche;FR;578850;189541
Bargen BE;3282;0;Bargen (BE);BE;586218;209918
Bargen SH;8233;0;Bargen (SH);SH;687789;294141
Barmelweid;5017;0;Erlinsbach (AG);AG;640091;252474
Barzheim;8241;0;Thayngen;SH;696157;290798
Basadingen;8254;0;Basadingen-Schlattingen;TG;697988;280924
Basel;4052;0;Basel;BS;611865;263537
Basel;4059;0;Basel;BS;611655;264552
Basel;4054;0;Basel;BS;609809;266649
Basel;4051;0;Basel;BS;611145;267062
Basel;4052;0;Basel;BS;612707;266307
Basel;4053;0;Basel;BS;612226;265301
Basel;4055;0;Basel;BS;609432;268118
Basel;4058;0;Basel;BS;611460;267073
Basel;4056;0;Basel;BS;610145;268770
Basel;4057;0;Basel;BS;612133;269502
Basel;4001;0;Basel;BS;611308;267305
Basse-Nendaz;1996;0;Nendaz;VS;590186;115627
Bassecourt;2854;0;Haute-Sorne;JU;585601;242562
Bassersdorf;8303;0;Bassersdorf;ZH;689185;254964
Bassins;1269;0;Bassins;VD;507272;146359
Bauen;6466;0;Bauen;UR;686731;198857
Baulmes;1446;0;Baulmes;VD;529728;182608
Bauma;8494;0;Bauma;ZH;708361;247305
Bavois;1372;0;Bavois;VD;533213;170831
Bazenheid;9602;0;Kirchberg (SG);SG;722767;252492
Beatenberg;3803;0;Beatenberg;BE;626748;171815
Beckenried;6375;0;Beckenried;NW;678395;202071
Bedano;6930;0;Bedano;TI;714557;101090
Bedigliora;6981;11;Bedigliora;TI;707642;97642.5
Bedigliora;6981;11;Bedigliora;TI;708660;95538.5
Bedretto;6781;4;Bedretto;TI;681957;151022
Beggingen;8228;0;Beggingen;SH;682089;291357
Begnins;1268;0;Begnins;VD;508774;143963
Beinwil (Freiamt);5637;0;Beinwil (Freiamt);AG;668201;231339
Beinwil SO;4229;0;Beinwil (SO);SO;611446;245772
Beinwil am See;5712;0;Beinwil am See;AG;658256;235183
Belalp;3914;1;Naters;VS;641019;135723
Belfaux;1782;0;Belfaux;FR;574689;185748
Bellach;4512;0;Bellach;SO;604080;229317
Bellelay;2713;0;Saicourt;BE;579541;234819
Bellerive VD;1585;2;Vully-les-Lacs;VD;568365;197141
Bellevue;1293;0;Bellevue;GE;500885;123295
Bellikon;5454;0;Bellikon;AG;668759;249374
Bellinzona;6503;0;Bellinzona;TI;721041;118670
Bellinzona;6500;0;Bellinzona;TI;722385;117403
Bellmund;2564;0;Bellmund;BE;585330;217188
Bellwald;3997;0;Bellwald;VS;655497;141937
Belmont-sur-Lausanne;1092;0;Belmont-sur-Lausanne;VD;541817;152372
Belmont-sur-Yverdon;1432;0;Belmont-sur-Yverdon;VD;537743;177472
Belp;3123;0;Belp;BE;605375;193543
Belpberg;3124;0;Belp;BE;606302;190690
Belprahon;2744;0;Belprahon;BE;597522;237273
Benglen;8121;0;Fällanden;ZH;690550;246283
Benken SG;8717;0;Benken (SG);SG;718247;228631
Benken ZH;8463;0;Benken (ZH);ZH;691052;278647
Bennau;8836;0;Einsiedeln;SZ;697932;222763
Bennwil;4431;0;Bennwil;BL;625856;250046
Benzenschwil;5636;0;Merenschwand;AG;670035;233254
Bercher;1038;0;Bercher;VD;544152;171475
Berg (Dägerlen);8471;4;Dägerlen;ZH;697483;269218
Berg SG;9305;0;Berg (SG);SG;748395;261396
Berg TG;8572;0;Berg (TG);TG;729535;271415
Berg TG;8572;0;Berg (TG);TG;732229;273339
Berg am Irchel;8415;0;Berg am Irchel;ZH;686655;269162
Bergdietikon;8962;0;Bergdietikon;AG;671101;249307
Bergün/Bravuogn;7482;0;Bergün/Bravuogn;GR;776659;166590
Berikon;8965;0;Berikon;AG;670884;244955
Beringen;8222;0;Beringen;SH;685724;283937
Berken;3376;2;Berken;BE;620245;230572
Berlens;1680;2;Mézières (FR);FR;562874;171446
Berlingen;8267;0;Berlingen;TG;718477;281617
Bern;3004;0;Bern;BE;601017;203268
Bern;3018;0;Bern;BE;596228;198089
Bern;3015;0;Bern;BE;603515;198792
Bern;3007;0;Bern;BE;599691;198675
Bern;3010;0;Bern;BE;598897;199540
Bern;3014;0;Bern;BE;601505;201235
Bern;3005;0;Bern;BE;600860;198700
Bern;3012;0;Bern;BE;599040;201167
Bern;3027;0;Bern;BE;596088;200525
Bern;3006;0;Bern;BE;602485;199414
Bern;3011;0;Bern;BE;600709;199572
Bern;3008;0;Bern;BE;598116;199335
Bern;3020;0;Bern;BE;600981;199383
Bern;3019;0;Bern;BE;593093;197769
Bern;3011;0;Bern;BE;601773;200271
Bern;3013;0;Bern;BE;600576;200569
Berneck;9442;0;Berneck;SG;763773;254905
Bernex;1233;0;Bernex;GE;494281;114506
Bernhardzell;9304;0;Waldkirch;SG;743343;259746
Berolle;1149;0;Berolle;VD;515496;156921
Beromünster;6215;0;Beromünster;LU;657729;228657
Berschis;8892;0;Walenstadt;SG;745051;219185
Bertschikon;8543;0;Wiesendangen;ZH;703787;264935
Bertschikon (Gossau ZH);8614;0;Gossau (ZH);ZH;699687;241957
Berzona;6661;3;Isorno;TI;694438;117774
Besazio;6863;0;Mendrisio;TI;717499;81312.1
Besenbüren;5627;0;Besenbüren;AG;668595;240787
Besencens;1609;2;Saint-Martin (FR);FR;556395;159719
Betschwanden;8777;2;Glarus Süd;GL;720951;200451
Betten;3991;0;Bettmeralp;VS;648417;136340
Bettenhausen;3366;0;Bettenhausen;BE;621200;224743
Bettens;1042;4;Bettens;VD;534037;164195
Bettingen;4126;0;Bettingen;BS;617031;268941
Bettlach;2544;0;Bettlach;SO;599323;228049
Bettmeralp;3992;0;Bettmeralp;VS;648176;137820
Bettwiesen;9553;0;Bettwiesen;TG;719791;261926
Bettwil;5618;0;Bettwil;AG;662918;238138
Beurnevésin;2935;0;Beurnevésin;JU;577283;260351
Beuson (Nendaz);1996;6;Nendaz;VS;591367;114618
Bevaix;2022;0;Bevaix;NE;552556;197935
Bever;7502;0;Bever;GR;775742;155595
Bever;7502;0;Bever;GR;787910;158608
Bex;1880;0;Bex;VD;567132;122287
Biasca;6710;0;Biasca;TI;718022;135457
Biberen;3206;3;Ferenbalm;BE;582736;198712
Biberist;4562;0;Biberist;SO;608615;225810
Bibern SH;8242;0;Thayngen;SH;692847;292075
